"","pValue","Adjusted","logFC"
"thap11",0.00152144707162349,1,2.09126673283992
"fam60al",0.00121713695279746,0.888509975542146,0.63949380550115
"znf710b",0.561699243776113,1,0.627532628724868
"arl14ep",0,0,1.16505896275414
"smad3a",0.00323538040757143,1,1.07477745223558
"smad6a",0.279388035614345,1,0.775236497790433
"nr1h3",0.993950072798749,1,0.302086826495518
"nfatc3a",0.00152912384271497,1,1.9043590416716
"irx5a",0.470572582423418,1,0.2916509196614
"irx3a",0.0932958533892749,1,0.562542444003499
"tox3",0.254379650191258,1,0.869537661017364
"sall1a",5.10924635932497e-13,3.72974984230723e-10,7.44802297848146
"cebpg",0.00796060461460102,1,0.50702841616477
"creb3l1",0.00279483521855806,1,1.21333800142967
"znf536",6.1996818220722e-05,0.0452576773011271,0.758403440814765
"tcf12",0.606996738622663,1,1.0104192867665
"znf280d",0.0199828309719803,1,0.4727485681377
"plag1",0.975583379416759,1,0.783140184257576
"rbpjb",0.124356588938902,1,1.38781252265299
"tead1b",0.958081718441718,1,0.50363178289262
"znf143a",0.0130441991422873,1,1.05532551393374
"zfhx3",0.99687625592889,1,0.153805922380697
"seph",0,0,1.39792727821638
"tfe3a",0.0177355824489425,1,0.572753623812078
"lhx4",3.39512016038768e-05,0.02478437717083,8.52284710366193
"rorca",NA,NA,4.78467120106128
"notch2",0.986925054483436,1,0.331686806487473
"rfx2",1.21178840961633e-06,0.000884605539019923,1.52666572485057
"csde1",1.80701963614638e-07,0.000131912433438686,0.726942576316013
"ppardb",0.722139980077441,1,0.477127086410959
"nfyal",0.190978021332429,1,1.24886829914071
"cebpb",3.2541747074788e-12,2.37554753645952e-09,1.82293990269923
"atoh1a",0,0,1.08169132297913
"creb3l3l",3.67705865755852e-13,2.68425282001772e-10,1.07750185492993
"znf131",0.976833209818753,1,0.236818629276796
"pbx3b",0.601611435378464,1,0.924306864560538
"ncor2",0.277692202404016,1,0.558215921876483
"hes2.2",0,0,6.13828727996399
"ybx1",3.33066907387547e-16,2.43138842392909e-13,0.319926541039005
"nkx2.7",0.99814134357941,1,0.19361794276624
"egr3",0.385475359404688,1,2.36261223480755
"tcf7l1b",0.5988148226171,1,1.24293946227142
"nr2c2",0.988168172698673,1,0.23388242268985
"nfe2l2a",0,0,0.833711670150161
"hoxd4a",0.910673034229155,1,0.460816941824673
"dlx2a",0.998208981601595,1,0.364195988097725
"carf",0.309362176521038,1,0.71337874629485
"tsc22d1",1.48103751484996e-13,1.08115738584047e-10,0.475103238757656
"pknox1.1",0.00089162277656174,0.65088462689007,0.918286051030831
"sox1a",0.00425626296451975,1,0.47931832654139
"etv5a",0.135967591580441,1,0.611626797503532
"lrrfip1a",0.684068430801879,1,0.376058990434067
"creb1b",2.55129821959965e-05,0.0186244770030775,1.33698996047877
"klf7b",0.075362004831935,1,0.358692937600308
"dachd",0.000308295714465112,0.225055871559532,1.66196609525249
